name,color,magicPower,attack,defense,health,items,enchants,🟡,🔵,⚫,🔴,🟢,⚪,🟣,ability,ability name,ability cost,slot,effect,stat,amount,scaler,target,condition,timing,duration,token,mod_target,mod_op,extra,notes
Zaccaria,P,1,1,2,10,1,1,1,5,0,0,0,0,9,1,First Strike,,1,initiative,,,,,,preGame,always,,,,"{""which"":""first"",""turn"":1}",
,,,,,,,,,,,,,,,2,Mind Shatter,UPP,1,buff,magicPower,1,,self,,cardResolve,turn,,,,,
,,,,,,,,,,,,,,,2,,,2,debuff,defense,0,magicPower,any,,cardResolve,turn,,,,,X = potere magico di Zaccaria
,,,,,,,,,,,,,,,3,Summon Crooks,WCPP,1,token,,,,allBattlefieldsOwnSide,,cardResolve,permanent,Crook 1/1,,,,
Sly,P,0,2,0,11,2,0,0,0,4,0,2,3,6,1,Hidden Blade,,1,createCard,,,,,,preGame,always,,,,"{""card"":""purpleKnife"",""into"":""deck""}",
,,,,,,,,,,,,,,,2,Craft Purple Knife,PPPPC,1,createCard,,,,,,cardResolve,,,,,"{""card"":""purpleKnife"",""into"":""hand""}",
,,,,,,,,,,,,,,,3,Arsenal,PGB,1,buff,attack,0,equippedItems,self,,cardResolve,turn,,,,,
Jack,C,0,3,0,10,2,0,0,0,4,0,0,8,3,1,Ambush,,1,buff,attack,2,,self,goingFirst selfIsActive,placement,turn,,,,,
,,,,,,,,,,,,,,,2,Quick Equip,CCCP,1,itemHaste,,,,,,cardResolve,,,,,"{""maxRunes"":2}",
,,,,,,,,,,,,,,,3,Crippling Strike,CCBB,1,debuff,attack,0,ownAttackBonus,any,,cardResolve,turn,,,,,
Majani,G,2,0,2,10,0,2,0,4,0,5,6,0,0,1,Anti-Magic Aura,,1,restrictCards,,2,,enemyActive,targetEnchanted,always,always,,,,,
,,,,,,,,,,,,,,,2,Nature Guard,GGR,1,buff,defense,0,ownEnchants,self,,cardResolve,turn,,,,,
,,,,,,,,,,,,,,,3,Enchanting Roots,GGRUU,1,transformStackCard,,,,,,cardResolve,,,,,"{""to"":""enchant"",""maxRunes"":""greenRunes""}",
Moraga,G,0,2,2,10,1,0,5,0,0,0,8,2,0,1,Life Bond,,1,heal,,1,,allOwnHeroes,,endTurn,always,,,,,
,,,,,,,,,,,,,,,2,Amber Forge,GGGGC,1,createCard,,,,,,cardResolve,,,,,"{""card"":""amberSwordAxe"",""into"":""hand""}",
,,,,,,,,,,,,,,,3,Earthen Strike,WWGG,1,damage,,0,ownDefense,enemyOnOtherBattlefield,,cardResolve,,,,,"{""kind"":""magic""}",
Doran,G,0,1,2,10,4,0,4,0,0,0,8,4,0,1,Master Smith,,1,celerity,,,,,,onPlayItem,always,,,,,
,,,,,,,,,,,,,,,1,,,2,grantColorFreedom,,,,,,always,always,,,,"{""scope"":""item""}",
,,,,,,,,,,,,,,,2,Quick Smith,CCW,1,itemHaste,,,,,,cardResolve,,,,,,
,,,,,,,,,,,,,,,3,Second Wind,CGG,1,heal,,2,,self,selfHalfOrLess,cardResolve,,,,,,
